Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2018",6825,"6,939.10","7,047.70","6,460.10",257.53K,-1.63%
"Mar 31, 2018",6938,"6,856.50","7,221.50","6,804.90",245.30K,1.23%
"Mar 30, 2018",6854,"7,132.40","7,288.10","6,603.80",417.31K,-3.86%
"Mar 29, 2018",7129,"7,955.20","7,980.70","6,954.90",348.75K,-10.38%
"Mar 28, 2018",7955,"7,803.00","8,110.40","7,754.50",167.36K,1.96%
"Mar 27, 2018",7802,"8,146.50","8,218.30","7,760.60",223.10K,-4.20%
"Mar 26, 2018",8144,"8,474.00","8,515.70","7,865.90",247.18K,-3.89%
"Mar 25, 2018",8473,"8,549.10","8,679.00","8,392.20",149.52K,-0.87%
"Mar 24, 2018",8547,"8,917.30","9,008.80","8,523.60",177.43K,-4.14%
"Mar 23, 2018",8917,"8,725.30","8,917.00","8,305.60",210.11K,2.18%
"Mar 22, 2018",8726,"8,903.70","9,096.20","8,499.10",223.01K,-2.02%
"Mar 21, 2018",8906,"8,912.40","9,173.40","8,775.10",218.19K,-0.08%
"Mar 20, 2018",8913,"8,614.10","9,039.60","8,326.80",253.44K,3.43%
"Mar 19, 2018",8617,"8,200.90","8,698.30","8,127.70",316.96K,5.07%
"Mar 18, 2018",8201,"7,873.20","8,283.60","7,323.30",348.02K,4.14%
"Mar 17, 2018",7875,"8,198.00","8,344.80","7,760.20",208.05K,-5.00%
"Mar 16, 2018",8289,"8,264.30","8,604.80","7,929.10",236.13K,0.30%
"Mar 15, 2018",8264,"8,210.20","8,427.00","7,691.70",326.53K,0.66%
"Mar 14, 2018",8211,"9,154.90","9,353.40","7,958.50",305.45K,-10.32%
"Mar 13, 2018",9155,"9,138.70","9,482.00","8,875.10",239.46K,0.19%
"Mar 12, 2018",9137,"9,535.80","9,892.20","8,804.10",257.91K,-4.12%
"Mar 11, 2018",9530,"8,732.20","9,719.60","8,516.40",266.59K,8.76%
"Mar 10, 2018",8762,"9,216.20","9,500.00","8,691.10",198.73K,-4.94%
"Mar 09, 2018",9217,"9,301.90","9,420.50","8,351.00",371.46K,-0.89%
"Mar 08, 2018",9300,"9,910.70","10,109.00","9,037.00",256.26K,-6.09%
"Mar 07, 2018",9903,"10,779.00","10,899.00","9,422.10",284.54K,-7.23%
"Mar 06, 2018",10675,"11,314.20","11,316.40","10,412.00",230.65K,-5.78%
"Mar 05, 2018",11331,"11,415.70","11,506.90","11,281.20",162.11K,-0.75%
"Mar 04, 2018",11417,"11,402.80","11,490.30","10,878.40",156.40K,0.12%
"Mar 03, 2018",11402,"10,822.50","11,420.70","9,585.50",172.20K,5.31%
"Mar 02, 2018",10828,"10,904.50","11,167.00","10,677.10",201.69K,-0.70%
"Mar 01, 2018",10905,"10,335.10","11,047.80","10,248.70",188.77K,5.52%
"Feb 28, 2018",10334,"10,584.40","11,070.70","10,303.40",215.22K,-2.46%
"Feb 27, 2018",10594,"10,287.80","10,867.20","10,120.50",202.58K,3.01%
"Feb 26, 2018",10285,"9,590.90","10,378.40","9,410.30",235.94K,7.30%
"Feb 25, 2018",9585,"9,703.10","9,860.30","9,330.10",196.49K,-1.23%
"Feb 24, 2018",9704,"10,163.80","10,506.10","9,394.50",239.16K,-4.58%
"Feb 23, 2018",10170,"9,840.60","10,419.10","9,597.80",271.50K,3.34%
"Feb 22, 2018",9842,"10,470.10","10,930.20","9,743.90",316.63K,-6.03%
"Feb 21, 2018",10473,"11,240.90","11,289.70","10,252.20",327.14K,-6.81%
"Feb 20, 2018",11239,"11,169.70","11,791.50","11,119.90",267.56K,0.62%
"Feb 19, 2018",11169,"10,396.60","11,250.50","10,324.80",215.20K,7.41%
"Feb 18, 2018",10399,"11,073.70","11,271.60","10,137.20",288.91K,-6.09%
"Feb 17, 2018",11074,"10,177.30","11,095.90","10,070.90",224.76K,8.79%
"Feb 16, 2018",10179,"10,031.30","10,294.30","9,707.70",206.44K,1.41%
"Feb 15, 2018",10037,"9,475.60","10,206.80","9,348.50",291.28K,5.92%
"Feb 14, 2018",9476,"8,542.60","9,500.00","8,541.60",246.88K,10.97%
"Feb 13, 2018",8539,"8,906.20","8,942.70","8,378.00",195.87K,-4.09%
"Feb 12, 2018",8904,"8,083.60","8,984.90","8,083.60",238.67K,10.17%
"Feb 11, 2018",8082,"8,559.70","8,564.20","7,843.70",236.20K,-5.58%
"Feb 10, 2018",8560,"8,697.30","9,066.60","8,172.20",263.53K,-1.61%
"Feb 09, 2018",8700,"8,163.60","8,735.60","7,784.60",233.94K,6.56%
"Feb 08, 2018",8164,"7,595.10","8,489.90","7,595.10",296.10K,7.50%
"Feb 07, 2018",7595,"7,693.80","8,536.50","7,196.60",445.62K,-1.38%
"Feb 06, 2018",7701,"6,939.30","7,896.20","5,996.60",886.88K,10.99%
"Feb 05, 2018",6939,"8,220.80","8,383.20","6,651.90",593.89K,-15.61%
"Feb 04, 2018",8222,"9,241.50","9,382.10","7,932.10",280.94K,-11.03%
"Feb 03, 2018",9241,"8,894.40","9,506.90","8,249.30",248.71K,3.91%
"Feb 02, 2018",8893,"9,179.80","9,201.40","7,915.80",519.40K,-3.14%
"Feb 01, 2018",9181,"10,266.20","10,303.00","8,789.20",358.40K,-10.56%
"Jan 31, 2018",10265,"10,166.30","10,397.70","9,742.20",208.47K,0.98%
"Jan 30, 2018",10166,"11,244.50","11,277.20","9,917.70",264.72K,-9.59%
"Jan 29, 2018",11245,"11,794.90","11,888.10","11,119.00",137.42K,-4.67%
"Jan 28, 2018",11795,"11,471.20","12,112.70","11,433.30",154.63K,2.86%
"Jan 27, 2018",11468,"11,118.00","11,621.70","10,908.40",163.49K,3.14%
"Jan 26, 2018",11118,"11,203.10","11,655.30","10,389.40",253.91K,-0.76%
"Jan 25, 2018",11203,"11,439.90","11,740.90","10,983.80",181.81K,-2.18%
"Jan 24, 2018",11452,"10,899.40","11,549.50","10,584.50",136.06K,5.04%
"Jan 23, 2018",10903,"10,869.00","11,438.00","10,056.60",188.37K,0.35%
"Jan 22, 2018",10865,"11,597.50","11,970.90","10,136.80",201.73K,-6.30%
"Jan 21, 2018",11595,"12,857.10","12,860.20","11,164.50",206.96K,-9.83%
"Jan 20, 2018",12859,"11,579.20","13,082.20","11,567.30",143.90K,11.04%
"Jan 19, 2018",11580,"11,229.60","11,973.20","10,901.50",170.74K,2.98%
"Jan 18, 2018",11245,"11,202.00","12,004.70","10,660.20",242.45K,0.47%
